IP,Name,Test_Num,Record,Record_Type,Duration,TTL,Answer_Count,Response
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,63.916921615600586,150748,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,83.99796485900879,199852,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,67.39687919616699,136816,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,82.18622207641602,139921,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,74.0509033203125,151070,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,101.0279655456543,150597,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,93.62292289733887,128412,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,92.62800216674805,150215,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,63.066959381103516,136815,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,76.28703117370605,137447,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,78.90200614929199,172645,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,79.0250301361084,136814,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,94.2220687866211,138920,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,62.255144119262695,200758,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,79.85901832580566,199744,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,107.96403884887695,139253,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,90.35086631774902,139749,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,59.1278076171875,137444,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,81.21514320373535,237043,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,87.97597885131836,137443,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,66.41697883605957,172338,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,74.85389709472656,136814,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,95.50714492797852,128229,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,62.26992607116699,139748,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,72.12996482849121,128555,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,60.296058654785156,199946,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,82.75508880615234,138918,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,75.62494277954102,150931,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,90.33799171447754,237071,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,82.51786231994629,139916,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,85.75701713562012,200827,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,80.30295372009277,136812,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,85.53290367126465,151066,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,79.42485809326172,199986,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,83.32300186157227,150596,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,76.92599296569824,136810,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,60.52803993225098,137440,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,75.70910453796387,172120,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,78.25613021850586,150147,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,72.19791412353516,128226,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,73.70996475219727,136811,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,73.78792762756348,136809,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,68.36986541748047,172871,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,73.3029842376709,127602,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,91.64190292358398,26503,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,94.17200088500977,200208,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,80.00397682189941,172333,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,75.93202590942383,149859,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,79.28681373596191,149859,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,66.35785102844238,136809,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,70.31512260437012,237037,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,69.59795951843262,171936,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,72.98803329467773,150453,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,85.00814437866211,136808,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,72.55911827087402,149784,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,84.86604690551758,26503,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,77.14509963989258,199982,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,82.27801322937012,136806,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,70.77193260192871,139504,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,75.90198516845703,136807,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,80.74021339416504,150926,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,91.94302558898926,136806,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,79.010009765625,90019,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,72.48210906982422,139081,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,74.39494132995605,149782,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,89.66708183288574,136807,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,98.78277778625488,136805,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,90.7430648803711,139740,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,81.27284049987793,172866,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,74.49889183044434,237064,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,84.93590354919434,149942,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,81.66193962097168,172695,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,71.93899154663086,128343,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,65.8869743347168,199937,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,92.78607368469238,136803,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,107.42712020874023,136806,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,88.2270336151123,139739,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,73.76790046691895,136806,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,88.95993232727051,136802,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,64.10098075866699,172864,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,87.87202835083008,237065,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,72.87192344665527,150734,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,75.52599906921387,137432,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,66.25509262084961,139218,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,76.76911354064941,127651,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,85.80803871154785,137432,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,90.03782272338867,136804,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,86.09390258789062,136802,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,81.04491233825684,172692,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,87.38398551940918,172862,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,65.86098670959473,26495,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,76.64203643798828,26496,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,70.00899314880371,26496,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,76.69496536254883,136802,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,68.70889663696289,199486,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,75.9589672088623,199485,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,85.28900146484375,150650,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,75.14405250549316,136799,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,76.1101245880127,128245,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,84.7470760345459,149776,1,198.41.0.4,
